yum_id,brand,street,city,state,zip,latitude,longitude,sales_volume,sales_year,closest_tb
382239,Moe's Southwest Grill,1 RAYMOND PLZ W,NEWARK,NJ,7102,40.73548847,-74.16409074,0,,4.306490769
213261,White Castle,2995 JOHN F KENNEDY BLVD,JERSEY CITY,NJ,7306,40.73552466,-74.06329841,2412000,2013,1.43502384
76529,McDonald's-TR,772 BROAD ST,NEWARK,NJ,7102,40.73628656,-74.17136716,2192000,2008,4.239961104
91825,Domino's,462 NEWARK ST,HOBOKEN,NJ,7030,40.73709191,-74.03839489,1308000,2013,0.796356575
317942,Wings To Go,400 NEWARK ST,HOBOKEN,NJ,7030,40.7373456,-74.03670701,313000,2011,0.807870845
299703,Qdoba Mexican Grill,1200 MORRIS TPKE,SHORT HILLS,NJ,7078,40.73790514,-74.36417925,1558000,2009,2.681680137
76506,McDonald's-TR,915 18TH AVE,NEWARK,NJ,7106,40.73824923,-74.2251548,3502000,2012,2.756774488
223840,Pizza Joes,507 5TH ST,NEW BRIGHTON,PA,15066,40.73896243,-80.31598626,483000,2013,3.861453053
399259,Chipotle Mexican Grill,229 WASHINGTON ST,HOBOKEN,NJ,7030,40.7390304,-74.03021815,0,,0.981348607
76537,McDonald's-TR,234 WASHINGTON ST,HOBOKEN,NJ,7030,40.73918674,-74.03054144,2343000,2012,0.986025104
229921,Burger King-TR,150 BERGEN ST,NEWARK,NJ,7103,40.73992004,-74.19248417,625000,2009,3.616740846
364049,Five Guys Famous Burgers and Fries,319 WASHINGTON ST,HOBOKEN,NJ,7030,40.74016513,-74.02987523,1059000,2012,1.06126427
391620,Five Guys Famous Burgers and Fries,701 FRANK E RODGERS BLVD S,HARRISON,NJ,7029,40.74091023,-74.15591053,892000,2012,3.874071428
297670,Qdoba Mexican Grill,400 WASHINGTON ST,HOBOKEN,NJ,7030,40.74129082,-74.02990279,922000,2011,1.134588258
367815,Sbarro,155 UNIVERSITY AVE,NEWARK,NJ,7102,40.74248059,-74.1736278,0,,3.968327492
89610,Wendy's,401 BERGEN ST,HARRISON,NJ,7029,40.74312859,-74.15495083,2201000,2013,3.716774754
400076,McDonald's-TR,260 CENTRAL AVE,JERSEY CITY,NJ,7307,40.74377249,-74.05069069,0,,1.455193951
91809,Domino's,59 ACADEMY ST,SOUTH ORANGE,NJ,7079,40.74416297,-74.25834172,801000,2011,3.323392799
226983,Checker's Drive-In,111 HARTFORD ST,NEWARK,NJ,7103,40.74530398,-74.18841161,1743000,2013,4.040669103
76532,McDonald's-TR,334 W MARKET ST,NEWARK,NJ,7107,40.74535544,-74.18987948,1767000,2008,3.996706124
294361,Popeyes,7 PASSAIC AVE,HARRISON,NJ,7029,40.74551326,-74.1640144,1908000,2012,3.627574839
282545,Wendy's,339 W MARKET ST,NEWARK,NJ,7107,40.7458341,-74.1900596,1600000,2010,4.01751171
53049,Burger King-TR,330 CENTRAL AVE,JERSEY CITY,NJ,7307,40.74613894,-74.04904925,1533000,2011,1.559985498
360446,Little Caesars,907 S ORANGE AVE,EAST ORANGE,NJ,7018,40.74617412,-74.22585972,1104000,2010,3.288697253
394681,Popeyes,929 S ORANGE AVE,EAST ORANGE,NJ,7018,40.74635387,-74.22657073,0,,3.295260046
331282,White Castle,951-957 S ORANGE AVE,EAST ORANGE,NJ,7018,40.74647768,-74.22725628,1522000,2012,3.298628945
337047,Papa John's Pizza,340 CENTRAL AVE,JERSEY CITY,NJ,7307,40.74653269,-74.0487805,554000,2012,1.578937494
338678,Burger King-TR,751 HARRISON AVE,HARRISON,NJ,7029,40.74754418,-74.14818999,1557000,2012,3.397114841
91822,Domino's,447 CENTRAL AVE,NEWARK,NJ,7107,40.74784394,-74.19144119,1222000,2007,4.051311882
366354,Papa John's Pizza,64 E LAWN RD,NAZARETH,PA,18064,40.74817863,-75.30268257,0,,4.95613292
53022,Burger King-TR,317 MAIN ST,MADISON,NJ,7940,40.74840558,-74.39850165,1680000,2013,4.294293764
402822,Pizza Joes,584 DINNERBELL RD,BUTLER,PA,16002,40.75006449,-79.84808729,0,,9.38160206
369653,Five Guys Famous Burgers and Fries,233 MAIN ST,MADISON,NJ,7940,40.75229717,-74.40475801,1249000,2010,4.128240462
344912,Vocelli Pizza,1216 7TH AVE,BEAVER FALLS,PA,15010,40.75315388,-80.31930575,422000,2012,3.193918886
53032,Burger King-TR,228 BROAD ST,NEWARK,NJ,7104,40.75421828,-74.16904969,1925000,2012,3.123916657
89614,Wendy's,275 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75437725,-74.21456304,2015000,2011,3.973190332
56584,Burger King-TR,201 S BEST AVE,WALNUTPORT,PA,18088,40.7544852,-75.5929377,1533000,2012,9.744474677
91837,Domino's,1183 SUMMIT AVE,JERSEY CITY,NJ,7307,40.75575852,-74.04586842,1176000,2011,0.930424447
100914,Checker's Drive-In,360 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75606324,-74.2164729,1922000,2009,4.058975741
76542,McDonald's-TR,375 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75612753,-74.21710287,3765000,2012,4.055163549
95278,Popeyes,372 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75634324,-74.2168829,2324000,2011,4.072419673
82513,McDonald's-TR,473 MAIN ST,WALNUTPORT,PA,18088,40.75677508,-75.59503819,3028000,2013,9.937123843
80180,McDonald's-TR,1625 7TH AVE,BEAVER FALLS,PA,15010,40.75720773,-80.31957368,2133000,2012,3.06963685
329792,Domino's,190 KEARNY AVE,KEARNY,NJ,7032,40.7577233,-74.15286354,1162000,2008,2.702731186
